#,NAME,,PSRJ,,RAJD,,DECJD,,P0,,,DIST,
94,J0139+5621,cvh+14,J0139+5621,cvh+14,24.91067,8.3e-05,56.36022,1.1e-04,1.77534382596,1.0e-10,cvh+14,2.410,
95,B0136+57,dth78,J0139+5814,dth78,24.832250,5.0e-06,58.242172,4.7e-06,0.272450630950,1.5e-11,hlk+04,2.600,
96,B0138+59,mth72,J0141+6009,mth72,25.41641,3.2e-05,60.158973,1.9e-05,1.2229485205457,1.8e-12,hlk+04,2.300,
97,J0141+63,slr+14,J0141+63,slr+14,25.2,5.0e-01,63.13,1.3e-01,0.04668588,4.9e-07,slr+14,8.774,
98,J0146+31,ttol16,J0146+31,ttol16,26.56,1.7e-01,31.07,1.7e-01,0.9381,0,ttol16,1.826,
99,J0146+6145,ims94,J0146+6145,ims94,26.5934,4.2e-04,61.75078,1.9e-04,8.6889941,4.0e-07,dk14,3.600,
100,B0144+59,stwd85,J0147+5922,stwd85,26.9360142,4.2e-07,59.3675789,2.8e-07,0.19632137543003,1.6e-13,ywml10,1.870,
101,B0148-06,mlt+78,J0151-0635,mlt+78,27.8446579,8.3e-07,-6.5841631,5.6e-07,1.464664549334,7.0e-12,hlk+04,25.000,
102,J0152+0948,clm+05,J0152+0948,clm+05,28.0989,2.1e-04,9.8028,5.6e-04,2.74664729014,1.0e-10,clm+05,2.477,
103,B0149-16,mlt+78,J0152-1637,mlt+78,28.0452246,4.2e-07,-16.6315669,5.6e-07,0.8327416126878,1.3e-12,hlk+04,0.920,
104,J0154+1833,mgf+19,J0154+1833,mgf+19,28.65367804,1.3e-07,18.564099,2.5e-06,0.0023645697763006,5.0e-16,mgf+19,1.622,
105,J0156+04,dsm+16,J0156+04,dsm+16,29.00,1.2e-01,4.03,1.3e-01,*,0,*,25.000,
106,B0153+39,dtws85,J0156+3949,dtws85,29.2302,8.9e-04,39.8246,1.1e-03,1.81156061131,1.0e-10,hlk+04,4.916,
107,B0154+61,dls72,J0157+6212,dls72,29.4580975,4.2e-07,62.2074022,2.8e-07,2.35174493646,7.0e-11,hlk+04,1.820,
108,J0158+21,dsm+13,J0158+21,dsm+13,29.62,1.3e-01,21.13,1.3e-01,0.5053,0,dsm+13,1.569,
109,J0201+7005,kkl+15,J0201+7005,kkl+15,30.42227,2.9e-05,70.088364,1.7e-05,1.349184471846,1.0e-11,kkl+15,1.172,
110,J0203-0150,mzl+23,J0203-0150,mzl+23,30.89130062,1.7e-07,-1.8337743,2.5e-07,0.0051733218641960,4.0e-16,mzl+23,1.837,
111,J0205+6449,mss+02,J0205+6449,mss+02,31.4080103,6.3e-07,64.8281484,2.8e-07,0.06571592849324,9.0e-14,lrc+09,3.200,
112,B0203-40,mlt+78,J0206-4028,mlt+78,31.50539,2.1e-05,-40.467672,1.9e-05,0.630551259569,4.0e-12,jbv+19,1.260,
113,J0209+5759,gac+21,J0209+5759,gac+21,32.40543,6.7e-05,57.99592,5.0e-05,1.063906282526,1.4e-11,gac+21,1.743,
114,J0210+5845,scb+19,J0210+5845,scb+19,32.7308,4.2e-04,58.7511,2.8e-04,1.766208099,2.0e-09,tbc+20,1.952,
115,J0211-8159,lml+98,J0211-8159,lml+98,32.9958,1.3e-03,-81.99339,8.3e-05,1.0773327013,8.0e-10,dsb+98,1.523,
116,J0212+5222,bck+13,J0212+5222,bck+13,33.21724,2.5e-05,52.380417,1.1e-05,0.3763863640606,1.5e-12,lsk+18,1.558,
117,J0214+5222,slr+14,J0214+5222,slr+14,33.730297,1.4e-05,52.37804,5.3e-05,0.02457529479071,2.2e-13,slr+14,1.161,
118,J0215+6218,llc98,J0215+6218,llc98,33.98595,4.0e-05,62.30927,2.7e-05,0.548879819155,3.0e-12,hlk+04,2.004,
119,J0218+4232,nbf+95,J0218+4232,nbf+95,34.526494038,1.7e-08,42.53815976,2.2e-08,0.00232309053151224,8.0e-17,dcl+16,3.150,
120,J0220+3626,ttol16,J0220+3626,ttol16,35.17550,8.3e-05,36.44881,5.6e-05,1.0297,0,ttol16,2.240,
121,J0227+3356,dcm+23,J0227+3356,dcm+23,36.737750,4.2e-06,33.941044,1.9e-05,1.240102460176,4.0e-12,dcm+23,1.595,
122,J0229+20,dsm+13,J0229+20,dsm+13,37.26,1.3e-01,20.97,1.3e-01,0.8069,0,dsm+13,2.089,
123,B0226+70,dtws85,J0231+7026,dtws85,37.80832,1.1e-04,70.44275,4.6e-05,1.466820306152,7.0e-12,hlk+04,1.755,
124,J0241+16,dsm+13,J0241+16,dsm+13,40.44,1.3e-01,16.07,1.3e-01,1.5454,0,dsm+13,0.936,
125,J0242+62,hrk+08,J0242+62,hrk+08,40.646,1.3e-02,62.947,1.0e-02,0.592,0,hrk+08,0.217,
126,J0243+6027,hrk+08,J0243+6027,hrk+08,40.75000,0,60.45000,0,1.473,0,hrk+08,2.717,
127,J0244+14,dsm+13,J0244+14,dsm+13,41.21,1.3e-01,14.45,1.3e-01,2.1281,0,dsm+13,2.796,
128,J0248+4230,brj+21,J0248+4230,brj+21,42.129179,4.2e-06,42.505692,1.4e-05,0.0026008347856317,3.0e-16,brj+21,1.853,
129,J0248+6021,tpc+11,J0248+6021,tpc+11,42.077571,4.2e-06,60.359644,2.8e-06,0.217094,5.0e-06,tpc+11,2.000,
130,J0250+5854,tbc+18,J0250+5854,tbc+18,42.57408,1.2e-04,58.90036,5.6e-05,23.535378476,1.0e-09,tbc+18,1.558,
131,J0251+2606,cck+16,J0251+2606,cck+16,42.760640,2.1e-06,26.102769,5.6e-06,0.0025415543469461,3.0e-16,drc+21,1.170,
132,B0254-53,lvw69b,J0255-5304,lvw69b,43.984552,3.8e-06,-53.072576,2.5e-06,0.4477084731988,3.0e-13,jbv+19,1.514,
133,J0301+35,mgf+19,J0301+35,mgf+19,45.2,0.0e+00,35.0,0.0e+00,0.56832,0.0e+00,ar_drift21,3.100,
134,J0302+2252,ttol16,J0302+2252,ttol16,45.633292,1.7e-05,22.87003,5.6e-05,1.207164839778,2.0e-12,mbc+20,1.014,
135,B0301+19,fss73,J0304+1932,fss73,46.13798,6.7e-05,19.5476,2.2e-04,1.387584446262,3.0e-12,hlk+04,0.739,
136,J0305+11,scb+19,J0305+11,scb+19,46.27,5.0e-02,11.38,5.0e-02,0.8621,0,scb+19,1.838,
137,J0307+7443,hrm+11,J0307+7443,hrm+11,47.0,0.0e+00,74.7,0.0e+00,0.003156088688500,3.0e-15,saa+23,0.386,
138,J0312-0921,trr+21,J0312-0921,trr+21,48.02583,0,-9.36556,0,0.0037043355330862,3.0e-16,saa+23,0.817,
139,J0317+13,ttm18,J0317+13,ttm18,49.48,5.0e-02,13.48,5.0e-02,1.9743,0,scb+19,0.366,
140,J0318+0253,wlz+18,J0318+0253,wlz+18,49.564754,4.2e-06,2.883744,1.4e-05,0.0051898521745201,1.4e-15,wlc+21,1.328,
141,B0320+39,dth78,J0323+3944,dth78,50.8610913,4.2e-07,39.7478897,2.8e-07,3.032071956385,1.0e-11,hlk+04,0.945,
142,J0324+5239,bck+13,J0324+5239,bck+13,51.23108,1.7e-04,52.65869,5.6e-05,0.336620230291,3.0e-12,bck+13,2.290,
143,J0325+6744,slr+14,J0325+6744,slr+14,51.27133,8.9e-05,67.74983,3.1e-05,1.364678767282,1.5e-11,lsk+18,1.929,
144,J0329+1654,lxf+05,J0329+1654,lxf+05,52.28563,1.2e-04,16.9006,5.6e-04,0.893319660649,1.0e-12,lxf+05,2.557,
145,B0329+54,cp68,J0332+5434,cp68,53.2475400,4.2e-07,54.5787025,2.8e-07,0.714519699726,4.0e-12,hlk+04,1.675,
146,B0331+45,dtws85,J0335+4555,dtws85,53.8193400,4.2e-07,45.9315144,2.8e-07,0.26920054092953,1.3e-13,hlk+04,2.410,
147,J0335+6623,slr+14,J0335+6623,slr+14,53.9878,5.6e-04,66.3899,2.9e-04,1.76193424742,1.9e-10,lsk+18,1.907,
148,J0337+1715,rsa+14,J0337+1715,rsa+14,54.4326079,5.4e-07,17.2541189,5.6e-07,0.00273258863244,9.0e-14,rsa+14,1.300,
149,J0337+79,kkl+15,J0337+79,kkl+15,54.3,0.0e+00,79.0,-nan,2.05621,6.0e-05,kkl+15,1.053,
